Original Addgene Expression Data,Categories
"Retroviral, Luciferase",Mammalian
"Retroviral, Other",Mammalian
"Retroviral, RNAi",Mammalian
"Retroviral, RNAi, Other",Mammalian
RNAi,Unspecified
"RNAi, Other",Unspecified
Synthetic Biology,Unspecified
"Synthetic Biology, Other",Unspecified
TALEN,Unspecified
"TALEN, Other",Unspecified
Unspecified,Unspecified
Worm Expression,Worm
"Worm Expression, Cre/Lox",Worm
"Worm Expression, Cre/Lox, CRISPR",Worm
"Worm Expression, Cre/Lox, Other",Worm
"Worm Expression, CRISPR",Worm
"Worm Expression, CRISPR, Other",Worm
"Worm Expression, Other",Worm
"Worm Expression, RNAi",Worm
"Worm Expression, RNAi, Other",Worm
Yeast Expression,Yeast
"Yeast Expression, Cre/Lox",Yeast
"Yeast Expression, Cre/Lox, Other",Yeast
"Yeast Expression, CRISPR",Yeast
"Yeast Expression, CRISPR, Other",Yeast
"Yeast Expression, CRISPR, Synthetic Biology",Yeast
"Yeast Expression, Other",Yeast
"Yeast Expression, Synthetic Biology",Yeast
"Yeast Expression, Synthetic Biology, Other",Yeast
"Yeast Expression, TALEN",Yeast
#N/A,Unspecified
